2022-12-04 16:09:47,974 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:09:49,779 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:09:54,032 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:09:56,051 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:09:58,061 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:10:00,079 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:10:00,346 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: partial_history
2022-12-04 16:10:00,346 DEBUG   SenderThread:12044 [sender.py:send():303] send: history
2022-12-04 16:10:00,346 DEBUG   SenderThread:12044 [sender.py:send():303] send: summary
2022-12-04 16:10:00,357 INFO    SenderThread:12044 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-04 16:10:01,084 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\wandb-summary.json
2022-12-04 16:10:01,617 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:10:01,617 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:10:02,088 INFO    Thread-17 :12044 [dir_watcher.py:_on_file_modified():292] file/dir modified: C:\Users\alban\PycharmProjects\FDL\Kaggle\wandb\run-20221204_160549-3dzlqisz\files\output.log
2022-12-04 16:10:19,781 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
2022-12-04 16:10:19,781 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:10:19,781 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:10:37,978 DEBUG   HandlerThread:12044 [handler.py:handle_request():139] handle_request: stop_status
2022-12-04 16:10:37,978 DEBUG   SenderThread:12044 [sender.py:send_request():317] send_request: stop_status
2022-12-04 16:10:49,789 DEBUG   SenderThread:12044 [sender.py:send():303] send: stats
